product_id,product_name_cn,product_name_en,category,specs,applications,moq,price_range,lead_time,certifications,packaging,customization,qa_common,last_updated,source_doc
P001,304不锈钢螺栓,304 Stainless Steel Hex Bolt,Fastener,"M6-M12; DIN933; SS304",Machinery and construction,1000,"USD 0.05-0.22/pc",15-20 days,"ISO9001; RoHS",Carton plus pallet,"Length and logo",Can you provide salt spray report? Yes on request,2026-03-19,product-manual-v1.pdf
P002,316不锈钢螺母,316 Stainless Steel Hex Nut,Fastener,"M6-M12; DIN934; SS316",Marine and chemical equipment,1000,"USD 0.04-0.18/pc",18-22 days,"ISO9001; RoHS",Carton plus pallet,"Custom label",Do you support mixed sizes? Yes with MOQ limits,2026-03-19,product-manual-v1.pdf
P003,碳钢平垫圈,Carbon Steel Flat Washer,Fastener,"M6-M16; zinc plated",General assembly,5000,"USD 0.01-0.05/pc",12-18 days,"ISO9001",Bulk bag,"Thickness option",Can you do blue zinc? Yes,2026-03-19,product-manual-v1.pdf
P004,高强度自攻螺钉,High Strength Self Tapping Screw,Fastener,"ST3.5-ST6.3; hardened",Sheet metal and furniture,5000,"USD 0.02-0.09/pc",15-25 days,"ISO9001",Box plus carton,"Head type and drive",Do you provide drilling test? Yes,2026-03-19,product-manual-v1.pdf
P005,弹簧垫圈,Spring Lock Washer,Fastener,"M6-M12; black oxide",Vibration resistance assembly,3000,"USD 0.01-0.04/pc",10-15 days,"ISO9001",Bulk carton,"Surface finish",Can you provide hardness data? Yes,2026-03-19,product-manual-v1.pdf
P006,U型螺栓,U Bolt,Fastener,"M8-M16; carbon steel",Pipe support and clamps,1000,"USD 0.20-0.95/pc",20-28 days,"ISO9001",Carton,"Thread and length",Can you include nuts and washers? Yes,2026-03-19,product-manual-v1.pdf
P007,锚栓,Expansion Anchor Bolt,Fastener,"M8-M16; wedge type",Concrete fixing,2000,"USD 0.10-0.60/pc",18-25 days,"ISO9001; CE",Carton,"Plating thickness",Is pull-out test available? Yes,2026-03-19,product-manual-v1.pdf
P008,尼龙锁紧螺母,Nylon Insert Lock Nut,Fastener,"M6-M12; DIN985",Automotive and machinery,2000,"USD 0.03-0.15/pc",15-20 days,"ISO9001; RoHS",Carton,"Nylon color",Can you do all-metal lock nuts? Yes separate item,2026-03-19,product-manual-v1.pdf
P009,六角法兰螺栓,Hex Flange Bolt,Fastener,"M6-M12; serrated flange",Automotive assembly,2000,"USD 0.06-0.25/pc",15-22 days,"ISO9001",Carton,"Flange diameter",Do you supply PPAP docs? On request,2026-03-19,product-manual-v1.pdf
P010,不锈钢铆钉,Stainless Steel Blind Rivet,Rivet,"3.2-4.8 mm",Appliance and enclosure assembly,5000,"USD 0.02-0.08/pc",12-18 days,"ISO9001; RoHS",Box plus carton,"Head style",Can you offer open and sealed types? Yes,2026-03-19,product-manual-v1.pdf
P011,螺纹杆,Threaded Rod,Fastener,"M8-M16; 1m-3m",Construction and hangers,1000,"USD 0.80-3.20/pc",18-26 days,"ISO9001",Bundle plus pallet,"Cut length",Do you support hot dip galvanizing? Yes,2026-03-19,product-manual-v1.pdf
P012,内六角螺钉,Socket Head Cap Screw,Fastener,"M4-M12; DIN912",Machine building,3000,"USD 0.03-0.20/pc",15-20 days,"ISO9001; RoHS",Carton,"Head marking",Can you do grade 12.9? Yes,2026-03-19,product-manual-v1.pdf
P013,平头机螺钉,Flat Head Machine Screw,Fastener,"M3-M8; Phillips",Electronics and panel assembly,5000,"USD 0.01-0.07/pc",12-18 days,"ISO9001",Box plus carton,"Drive type",Can you do Torx? Yes,2026-03-19,product-manual-v1.pdf
P014,法兰螺母,Flange Nut,Fastener,"M6-M12; DIN6923",Automotive and furniture,3000,"USD 0.02-0.10/pc",14-20 days,"ISO9001",Carton,"Serration option",Can you do non-serrated type? Yes,2026-03-19,product-manual-v1.pdf
P015,蝶形螺母,Wing Nut,Fastener,"M4-M10; stamped or forged",Quick manual tightening,2000,"USD 0.05-0.24/pc",15-22 days,"ISO9001",Carton,"Material and wing size",Do you support stainless option? Yes,2026-03-19,product-manual-v1.pdf
P016,方头螺栓,Square Head Bolt,Fastener,"M8-M16",Timber and restoration projects,1000,"USD 0.10-0.50/pc",20-30 days,"ISO9001",Carton,"Length and finish",Can you produce UNC threads? Yes,2026-03-19,product-manual-v1.pdf
P017,T型螺栓,T Slot Bolt,Fastener,"M6-M12; profile compatible",Aluminum profile systems,2000,"USD 0.06-0.30/pc",16-24 days,"ISO9001",Carton,"Slot standards",Can you match EU profiles? Yes,2026-03-19,product-manual-v1.pdf
P018,吊环螺栓,Eye Bolt,Fastener,"M8-M20",Lifting and rigging,1000,"USD 0.30-2.50/pc",18-28 days,"ISO9001; CE",Carton plus pallet,"Thread and safety factor",Do you include load chart? Yes,2026-03-19,product-manual-v1.pdf
P019,双头螺柱,Stud Bolt,Fastener,"M8-M20; B7 optional",Flange and heavy industry,1000,"USD 0.15-1.80/pc",20-30 days,"ISO9001",Bundle plus pallet,"Thread length",Can you provide MTC 3.1? On request,2026-03-19,product-manual-v1.pdf
P020,化学锚栓,Chemical Anchor Stud,Anchor System,"M8-M16; with resin",High-load concrete installation,1000,"USD 0.40-1.60/pc",20-28 days,"ISO9001; CE",Carton,"Stud length",Do you provide installation guide? Yes,2026-03-19,product-manual-v1.pdf
