company_id,company_name_cn,company_name_en,company_intro,factory_capacity,main_markets,quality_control,certifications,payment_terms,shipping_terms,after_sales_policy,sample_policy,compliance_statement,qa_common,last_updated,source_doc
C001,星航紧固件,Starline Fasteners Co Ltd,"Manufacturer of industrial fasteners with export focus",Monthly output 1200 tons,"EU North America Middle East",Incoming in-process and final inspection,"ISO9001",T/T 30% deposit 70% before shipment,"FOB CIF EXW",Quality issue claim within 30 days with evidence,"Free samples for standard items freight collect",No false origin or certificate claims,"Are you manufacturer? Yes with factory audit support",2026-03-19,company-profile-v1.pptx
C002,星航紧固件,Starline Fasteners Co Ltd,"In-house tooling and process engineering team",Cold heading lines 35 sets,"EU ASEAN LATAM",SPC and AQL sampling,"ISO9001",T/T and L/C at sight for approved buyers,"FOB Ningbo Shanghai",Replacement or credit after joint verification,"Customized samples in 7-10 days",Comply with customer code of conduct,"Can you do OEM? Yes",2026-03-19,company-profile-v1.pptx
C003,星航紧固件,Starline Fasteners Co Ltd,"Experienced with private label export projects",80 container shipments per month,"Germany Poland USA Mexico",Material traceability by heat number,"ISO9001; RoHS declaration",Standard T/T terms,"FOB CIF DDP by request",Technical support within 24 hours,"Standard sample 3-5 days",No commitment beyond signed contract,"Can you support barcoded packaging? Yes",2026-03-19,company-profile-v1.pptx
C004,星航紧固件,Starline Fasteners Co Ltd,"Specialized in carbon steel and stainless product lines",Two dedicated stainless workshops,"UK France Canada UAE",Salt spray and torque testing,"ISO9001",Negotiable for repeat customers,"FOB preferred",Missing or damaged goods resolved by evidence,"Sample freight can be prepaid",No legal interpretation in chat,"Do you accept third-party inspection? Yes",2026-03-19,company-profile-v1.pptx
C005,星航紧固件,Starline Fasteners Co Ltd,"Flexible MOQ for trial orders on standard SKUs",Warehouse safety stock for top SKUs,"US CA MX",100% visual sorting on key SKUs,"ISO9001",T/T only for new customers,"FOB CIF",After-sales ticket closed within 3 business days,"Sample stock available",No exclusivity promise without contract,"Can you support mixed container? Yes",2026-03-19,company-profile-v1.pptx
C006,星航紧固件,Starline Fasteners Co Ltd,"Engineering support for drawing-based parts",CNC secondary process capability,"EU USA",PPAP and FAI available on request,"ISO9001",Deposit plus balance terms,"FOB EXW",Root cause report for confirmed defects,"Customized sample lead time 10-14 days",No guarantee on customer misuse,"Can you make from drawing? Yes",2026-03-19,company-profile-v1.pptx
C007,星航紧固件,Starline Fasteners Co Ltd,"Long-term supply for distributors and wholesalers",Dedicated key account team,"Global",Batch retention samples,"ISO9001",L/C at sight case by case,"FOB CIF DAP",Support return policy by agreement,"Distributor sample kit available",No sanctions or restricted destination commitments in chat,"Do you support annual contracts? Yes",2026-03-19,company-profile-v1.pptx
C008,星航紧固件,Starline Fasteners Co Ltd,"Stable zinc plating and heat treatment partners",Outsourced process with qualified vendors,"EU Middle East",Vendor audits and incoming checks,"ISO9001",T/T standard,"FOB",Compensation by bilateral agreement,"Samples with inspection data",No absolute lowest price guarantee,"Can you include test reports? Yes",2026-03-19,company-profile-v1.pptx
C009,星航紧固件,Starline Fasteners Co Ltd,"Digital order tracking and milestone updates",ERP traceable by PO and batch,"US EU",OQC checklist and lot coding,"ISO9001",T/T 30/70,"FOB CIF",Weekly shipment update for active orders,"Free standard samples",No open credit without approval,"Can you share production photos? Yes",2026-03-19,company-profile-v1.pptx
C010,星航紧固件,Starline Fasteners Co Ltd,"Supports English Chinese Spanish communication",Multilingual sales team,"North America South America",Customer complaint CAPA workflow,"ISO9001",T/T and selected L/C,"FOB EXW",Response SLA within 12 hours,"Sample confirmation before mass order",No verbal contract validity,"Can you sign NDA? Yes",2026-03-19,company-profile-v1.pptx
C011,星航紧固件,Starline Fasteners Co Ltd,"Focus on repeatability and delivery reliability",On-time delivery 95% internal target,"EU US",Daily line audit,"ISO9001",Standard TT,"FOB",RMA handling per agreed terms,"Courier sample in 3-7 days",No penalty acceptance outside contract,"What is your lead time policy? Based on PO and capacity",2026-03-19,company-profile-v1.pptx
C012,星航紧固件,Starline Fasteners Co Ltd,"Can support urgent production windows",Fast lane for urgent approved POs,"US EU",Priority QA gate for urgent jobs,"ISO9001",Rush order payment by standard terms,"EXW FOB",Urgent issue escalation route available,"Urgent sample by express",No guaranteed rush without capacity check,"Can you expedite? Subject to slot",2026-03-19,company-profile-v1.pptx
C013,星航紧固件,Starline Fasteners Co Ltd,"Private mold development for strategic projects",Tooling workshop in-house,"Global",Tooling validation checklist,"ISO9001",Tooling fee policy by quote,"FOB",Mold ownership terms in contract,"Prototype sample after tooling",No IP transfer without agreement,"Who owns molds? As contract states",2026-03-19,company-profile-v1.pptx
C014,星航紧固件,Starline Fasteners Co Ltd,"Packaging and labeling compliance support",Custom carton and pallet marks,"EU US",Pre-shipment packaging inspection,"ISO9001",Payment unchanged for packaging customization,"FOB CIF",Packaging claims supported with photos and report,"Label sample approval workflow",No claim beyond approved artwork,"Can you print our logo? Yes",2026-03-19,company-profile-v1.pptx
C015,星航紧固件,Starline Fasteners Co Ltd,"Supports third-party lab testing requests",Cooperation with SGS/TUV labs,"EU US",Test sample retention,"ISO9001",Testing fees by agreement,"FOB",Nonconformance handling via CAPA,"Test sample can be provided",No pass guarantee before test completion,"Can you arrange SGS? Yes",2026-03-19,company-profile-v1.pptx
C016,星航紧固件,Starline Fasteners Co Ltd,"Lean production for stable unit cost",Continuous improvement tracking,"Global",Process capability monitoring,"ISO9001",Standard terms with annual review,"FOB",Cost-related claims require documented change history,"Sample remains free for standard items",No fixed long-term price without index clause,"Can price be fixed for one year? Case by case",2026-03-19,company-profile-v1.pptx
C017,星航紧固件,Starline Fasteners Co Ltd,"Supports distributor territory programs",Sales channel policy available,"LATAM SEA",Channel conflict review process,"ISO9001",Payment per master agreement,"FOB CIF",Distributor complaint path defined,"Territory sample kits",No exclusivity without signed agreement,"Can we be exclusive distributor? Need contract approval",2026-03-19,company-profile-v1.pptx
C018,星航紧固件,Starline Fasteners Co Ltd,"Environmental and social compliance awareness",Basic ESG questionnaire support,"EU",Supplier self-assessment annually,"ISO9001",No change to standard terms,"FOB",Compliance concern response within 2 business days,"Compliance sample documentation",No legal compliance guarantee outside provided docs,"Do you have ESG policy? Basic policy available",2026-03-19,company-profile-v1.pptx
C019,星航紧固件,Starline Fasteners Co Ltd,"Stable export documentation team",Experienced in BL PL CI COO docs,"Global",Document double-check before submission,"ISO9001",Standard terms,"FOB CIF",Doc correction support if caused by our side,"Sample docs available",No liability for destination rule changes without notice,"Can you issue COO? Yes where applicable",2026-03-19,company-profile-v1.pptx
C020,星航紧固件,Starline Fasteners Co Ltd,"Dedicated after-sales ownership by account manager",Named owner per PO,"Global",After-sales weekly review,"ISO9001",Payment follows PO terms,"FOB CIF",Corrective and preventive actions shared with customer,"Sample reorder support",No unlimited liability acceptance in chat,"Who handles complaints? Assigned account manager",2026-03-19,company-profile-v1.pptx
